0,0,21,58,19,51
0,1,21,47,19,48
0,2,19,47,19,43
0,3,17,47,19,39
0,4,17,43,19,37
0,5,17,45,19,37
0,6,16,45,19,37
0,7,16,44.5,21,36
0,8,16,44,23,35
0,9,16,44,27,42
0,10,26,49,36,51
0,11,25,49,35,51
0,12,25,49,28,49
0,13,23,51,24,49
0,14,23,51,22,45
0,15,23,51,22,45
0,16,23,51,22,45
0,17,26,51,19,45
0,18,26,48,19,45
0,19,33,51,19,44
0,20,36,54,22,44
0,21,41,51,24,41
0,22,40,49,22,38
0,23,38.5,50,22,33
0,24,37,51,22,28
0,25,37,51,22,28
0,26,34,46,18,28
0,27,30,51,18,29
0,28,30,51,18,29
0,29,36,51,18,29
0,30,35,47,18,27
1,0,22,38,25,42
1,1,21.5,41.5,20,42
1,2,19.5,41.5,18.5,39
1,3,17.5,40,18.5,39
1,4,17.5,42.5,20.5,38.5
1,5,17.5,43.5,21,38.5
1,6,18,42.5,21,39.5
1,7,18,43.75,23,40.5
1,8,19.5,47,31,41
1,9,22,53,45,48
1,10,22,53,45,41
1,11,24,49.5,34.5,50.5
1,12,24,51,28,47
1,13,23,53,24.5,43
1,14,23.5,53.5,22.5,41
1,15,24.5,53.5,20,40
1,16,24.5,53.5,20,39
1,17,29.5,54.5,15,38
1,18,34,50.5,23,38
1,19,38.5,52,23,37.5
1,20,39,53,29,33
1,21,34,52,27,32
1,22,34.5,50.5,21.5,33.5
1,23,33.75,48,21,30
1,24,33,48,22,27.5
1,25,33,48,20.5,27.5
1,26,34.5,44.5,18,27.5
1,27,32.5,47,16.5,28.5
1,28,35,47,17.5,28.5
1,29,39,46,18,28.5
1,30,35,45,18,28
2,0,24,35,22,36
2,1,22,36,21,36
2,2,20,36,18,35
2,3,18,33,18,39
2,4,18,42,22,40
2,5,18,42,23,40
2,6,20,40,23,42
2,7,20,43,25,45
2,8,23,50,39,47
2,9,23,53,46,49
2,10,23,53,46,46
2,11,23,50,34,50
2,12,23,53,28,45
2,13,23,55,25,37
2,14,24,56,23,37
2,15,26,56,18,35
2,16,26,56,18,33
2,17,33,58,11,31
2,18,42,53,27,31
2,19,44,53,27,31
2,20,50,53,29,34
2,21,39,52,27,31
2,22,29,52,21,29
2,23,29,46,20,27
2,24,29,45,22,27
2,25,29,45,19,27
2,26,35,43,18,27
2,27,35,43,15,28
2,28,40,43,17,28
2,29,42,41,18,28
2,30,39,46,18,28
3,0,21,41,26,41
3,1,22.5,41.5,24,39
3,2,20.5,42,20,39
3,3,21,40.5,20,40
3,4,19.5,43,18.5,41.5
3,5,18.5,43,20,41
3,6,19.5,44.5,21.5,44.5
3,7,18.5,44,22,46
3,8,20,47.5,31,47.5
3,9,20,50,37.5,48
3,10,29,52,46,54
3,11,25,51.5,38,53
3,12,25,54,30.5,49
3,13,25,55,27,43.5
3,14,25.5,54,28.5,41.5
3,15,26.5,54,23.5,40
3,16,27,52,22,38
3,17,32.5,56,18.5,36.5
3,18,36,49.5,26.5,35.5
3,19,38.5,48.5,26.5,34.5
3,20,45,49,26,32
3,21,46,51,30,32
3,22,36.5,53,27,30.5
3,23,34.5,48,25.5,29.5
3,24,33,47.5,25.5,28.5
3,25,31,45,21.5,27.5
3,26,35,44,21,26.5
3,27,36,42.5,19,25.5
3,28,40,42.5,20,26
3,29,42.5,44.5,19.5,26
3,30,49,50,21,25
4,0,21,47,29,46
4,1,21,47,27,42
4,2,21,48,22,43
4,3,24,48,22,41
4,4,21,44,15,43
4,5,19,44,17,42
4,6,19,49,20,47
4,7,17,45,19,47
4,8,17,45,23,48
4,9,17,47,29,47
4,10,31,52,42,46
4,11,27,53,42,56
4,12,27,55,33,53
4,13,27,55,29,50
4,14,27,52,34,46
4,15,27,52,29,45
4,16,28,48,26,43
4,17,32,54,26,42
4,18,30,46,26,40
4,19,33,44,26,38
4,20,45,46,27,36
4,21,47,57,36,32
4,22,44,54,33,32
4,23,40,50,31,32
4,24,37,50,29,30
4,25,33,45,24,28
4,26,35,45,24,26
4,27,37,42,23,23
4,28,40,42,23,24
4,29,43,48,21,24
4,30,47,47,21,25
5,0,26,47,30,49
5,1,21,46,31,48
5,2,21,46,28,45
5,3,21,46,28,45
5,4,21,49,29,48
5,5,17,48,30,49
5,6,17,50,30,51
