0,30,35,47,18,27,33,40,21,26
1,30,35,45,18,28,35,35,21,24
2,30,39,46,18,28,40,42,21,25
3,30,49,50,21,25,34,39,22,20
4,30,47,47,21,25,40,44,29,20
4,29,43,48,21,24,30,39,20,19
4,28,40,42,23,24,28,37,19,18
4,27,37,42,23,23,26,41,19,18
4,26,35,45,24,26,25,42,19,18
4,25,33,45,24,28,26,42,19,20
4,24,37,50,29,30,26,44,20,21
4,23,40,50,31,32,27,44,23,21
4,22,44,54,33,32,37,48,27,21
4,21,47,57,36,32,50,56,30,27
4,20,45,46,27,36,46,54,29,27
5,20,49,59,36,41,50,63,30,33
5,19,46,59,37,41,43,65,30,34
5,18,45,63,38,46,36,65,30,32
5,17,42,66,37,46,34,66,27,41
5,16,41,66,34,47,32,65,27,41
5,15,41,66,32,47,31,65,27,38
5,14,41,52,36,49,31,59,30,42
5,13,32,55,35,50,29,56,30,46
5,12,30,55,38,52,28,52,30,50
5,11,30,57,43,59,30,52,37,60
5,10,29,54,43,57,29,47,44,58
6,10,60,61,49,62,41,56,46,54
7,10,39,61,49,63,35,65,49,54
8,10,44,57,48,66,42,52,53,64
9,10,38,54,52,63,43,61,52,62
10,10,40,46,47,65,36,54,49,56
10,11,38,52,47,60,43,54,46,60
10,12,37,52,47,58,41,49,40,55
10,13,43,50,47,55,41,44,33,52
10,14,43,48,47,55,44,46,35,52
10,15,43,51,47,53,44,47,30,47
10,16,43,53,47,48,46,50,28,50
10,17,43,52,47,47,47,52,31,47
10,18,48,52,47,50,53,53,32,47
10,19,53,53,45,48,54,53,30,47
10,20,60,54,41,48,57,53,39,43
10,21,58,59,42,49,56,60,39,45
10,22,56,54,40,47,53,58,31,45
10,23,56,52,40,48,53,49,31,37
10,24,56,49,38,48,51,45,30,42
10,25,56,47,36,41,47,42,26,32
10,26,49,45,36,39,51,35,26,31
10,27,51,44,34,42,48,31,26,31
10,28,53,44,34,43,41,36,26,32
10,29,53,43,34,43,45,32,26,30
10,30,51,41,34,40,45,37,26,30
11,30,56,49,35,41,46,36,26,34
12,30,56,41,35,44,48,40,30,41
13,30,53,38,33,33,53,28,29,31
14,30,57,36,33,33,56,27,29,30
15,30,58,36,39,34,56,29,39,35
16,30,56,28,41,25,55,27,52,38
17,30,45,28,41,25,45,24,52,28
18,30,38,25,42,20,45,26,43,24
18,29,45,26,42,23,44,28,48,28
18,28,45,24,36,22,44,28,51,29
18,27,49,26,42,24,40,28,51,29
18,26,48,30,48,27,46,28,52,32
18,25,46,29,48,24,45,28,52,32
18,24,57,30,52,30,48,29,52,34
18,23,57,30,50,31,55,30,52,32
18,22,52,31,49,33,51,30,55,33
18,21,50,31,49,33,52,39,55,32
18,20,51,31,50,33,53,32,55,29
18,19,54,35,50,35,53,39,57,30
18,18,47,35,50,36,47,33,58,30
18,17,53,34,51,40,47,32,57,34
18,16,53,36,54,41,39,31,59,37
18,15,62,34,55,41,39,30,58,40
18,14,49,34,59,46,33,24,58,35
18,13,48,32,60,46,39,28,58,33
18,12,46,32,63,47,38,28,59,39
18,11,41,31,67,47,34,28,62,45
18,10,43,31,57,33,35,35,69,52
19,10,38,31,60,50,37,30,62,45
20,10,38,26,60,46,41,30,59,45
21,10,34,13,57,43,41,28,55,45
22,10,37,27,55,45,44,34,55,43
23,10,38,20,54,45,42,31,53,43
24,10,32,27,49,41,39,37,55,42
25,10,32,22,46,42,31,38,52,35
25,9,40,32,39,27,31,28,39,30
25,8,40,16,40,26,40,24,40,30
25,7,33,15,41,28,33,20,39,24
25,6,32,15,39,23,29,21,29,24
26,6,29,15,35,23,26,20,27,20
27,6,25,16,37,20,24,18,27,21
28,6,25,16,36,20,21,18,27,20
