0,0,22,43,28,42
0,1,20,43,26,34
0,2,20,43,24,27
0,3,20,43,22,28
0,4,17,38,24,26
0,5,17,41,24,26
0,6,17,42,24,26
0,7,19,42.5,24,28.5
0,8,21,43,24,31
0,9,21,47,28,39
0,10,25,47,42,45
0,11,22,50,33,38
0,12,22,49,28,35
0,13,22,49,28,34
0,14,22,48,27,30
0,15,22.5,48,23.5,30
0,16,23,48,20,30
0,17,23,48,20,30
0,18,23,49,20,27
0,19,30,50,22,27
0,20,44,50,22,27
0,21,39,46,22,26
0,22,31,46,18,26
0,23,31,46,18,26
0,24,31,46,18,26
0,25,31,46,18,26
0,26,22,46,18,28
0,27,23,46,18,28
0,28,23,46,18,28
0,29,32,43,21,26
0,30,33,40,21,26
1,0,22,39,27,43
1,1,18.5,38,24.5,37
1,2,17.5,36.5,23,28.5
1,3,17.5,41.5,21,27.5
1,4,16.5,36,22,27
1,5,16.5,37,23,27
1,6,17,40,23,26.5
1,7,18,38.75,23.5,27.75
1,8,19,41,26,32
1,9,24,46,47,48
1,10,23,48,47,48
1,11,22.5,48,33.5,41.5
1,12,20,47.5,26.5,33
1,13,20,47,25,32.5
1,14,20,49.5,26,30
1,15,21.75,47.5,20.25,29.5
1,16,22.5,50,20.5,28
1,17,24.5,49.5,19,27.5
1,18,25.5,50.5,19.5,26
1,19,29.5,51,22.5,26.5
1,20,48,47,26,25
1,21,36,47,24,27
1,22,27.5,46,19,25.5
1,23,25.5,46,18,25
1,24,25,45,17.5,23
1,25,25,44,17.5,24.5
1,26,22.5,43.5,19.5,25.5
1,27,23,41,19.5,25.5
1,28,26.5,45,19.5,25.5
1,29,32,42,21,24.5
1,30,35,35,21,24
2,0,25,34,24,46
2,1,17,33,23,40
2,2,15,30,22,30
2,3,15,40,20,27
2,4,16,34,20,28
2,5,16,33,22,28
2,6,17,38,22,27
2,7,17,35,23,27
2,8,17,39,28,33
2,9,22,48,35,35
2,10,25,48,45,46
2,11,23,46,34,45
2,12,18,46,25,31
2,13,18,45,22,31
2,14,18,51,25,30
2,15,21,47,17,29
2,16,22,52,21,26
2,17,26,51,18,25
2,18,28,52,19,25
2,19,29,52,23,26
2,20,49,49,30,26
2,21,44,53,31,26
2,22,24,46,20,25
2,23,20,46,18,24
2,24,19,44,17,20
2,25,19,42,17,23
2,26,23,41,21,23
2,27,23,36,21,23
2,28,30,44,21,23
2,29,32,41,21,23
